ID            : 791
TypeExp       : DISDIMU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 28
Z2            : 0
KinVar        : [X, Y, EHAD, EPS ]

X	Y	EHAD	EPS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.100	0.320	109.460	0.469	0.50650	0.64183	0.08210	0.08210	2.71740	2.71740
0.167	0.320	109.460	0.474	0.50710	0.44649	0.08106	0.08106	0.55911	0.55911
0.336	0.320	109.460	0.477	0.14890	0.16318	0.02402	0.02402	0.35324	0.35324
0.057	0.570	109.460	0.667	1.19000	1.03195	0.16120	0.16120	0.96136	0.96136
0.100	0.570	109.460	0.675	0.78420	0.86441	0.10554	0.10554	0.57762	0.57762
0.167	0.570	109.460	0.683	0.49880	0.61133	0.06774	0.06774	2.75926	2.75926
0.336	0.570	109.460	0.682	0.21730	0.22213	0.03413	0.03413	0.02005	0.02005
0.057	0.795	109.460	0.756	1.67700	1.09098	0.20363	0.20363	8.28212	8.28212
0.100	0.795	109.460	0.758	1.30900	0.92653	0.17257	0.17257	4.91201	4.91201
0.167	0.795	109.460	0.755	0.87940	0.65168	0.13719	0.13719	2.75538	2.75538
0.336	0.795	109.460	0.764	0.20610	0.24013	0.04011	0.04011	0.71953	0.71953
0.057	0.320	209.890	0.686	1.26500	1.21176	0.19535	0.19535	0.07429	0.07429
0.100	0.320	209.890	0.700	0.98720	0.97064	0.14709	0.14709	0.01267	0.01267
0.167	0.320	209.890	0.699	0.58140	0.65467	0.09005	0.09005	0.66198	0.66198
0.336	0.320	209.890	0.702	0.24140	0.23199	0.03821	0.03821	0.06065	0.06065
0.023	0.570	209.890	0.818	1.85700	1.55179	0.24810	0.24810	1.51337	1.51337
0.057	0.570	209.890	0.817	1.95700	1.35539	0.28003	0.28003	4.61552	4.61552
0.100	0.570	209.890	0.820	1.51700	1.08166	0.22611	0.22611	3.70699	3.70699
0.167	0.570	209.890	0.820	0.96680	0.73082	0.15105	0.15105	2.44057	2.44057
0.336	0.570	209.890	0.823	0.25330	0.25644	0.04305	0.04305	0.00532	0.00532
0.023	0.795	209.890	0.873	2.14100	1.48375	0.24849	0.24849	6.99619	6.99619
0.057	0.795	209.890	0.865	1.90900	1.35884	0.24125	0.24125	5.20042	5.20042
0.100	0.795	209.890	0.871	1.24500	1.10255	0.18004	0.18004	0.62600	0.62600
0.167	0.795	209.890	0.866	0.87690	0.74466	0.13403	0.13403	0.97337	0.97337
0.336	0.795	209.890	0.868	0.22430	0.26007	0.04111	0.04111	0.75714	0.75714
0.023	0.320	332.700	0.797	1.62200	1.81511	0.23405	0.23405	0.68073	0.68073
0.057	0.320	332.700	0.799	1.72100	1.46609	0.25624	0.25624	0.98967	0.98967
0.100	0.320	332.700	0.804	1.06200	1.13189	0.15891	0.15891	0.19343	0.19343
0.167	0.320	332.700	0.799	0.63240	0.74488	0.09508	0.09508	1.39936	1.39936
0.336	0.320	332.700	0.807	0.28010	0.25817	0.04111	0.04111	0.28447	0.28447
0.023	0.570	332.700	0.886	2.09600	1.83340	0.30037	0.30037	0.76428	0.76428
0.057	0.570	332.700	0.880	1.90600	1.53110	0.29906	0.29906	1.57152	1.57152
0.100	0.570	332.700	0.879	1.66800	1.17976	0.27325	0.27325	3.19254	3.19254
0.167	0.570	332.700	0.884	0.79540	0.78232	0.13403	0.13403	0.00952	0.00952
0.336	0.570	332.700	0.892	0.27850	0.26761	0.05060	0.05060	0.04636	0.04636
0.023	0.795	332.700	0.920	3.08600	1.74279	0.34406	0.34406	15.24101	15.24101
0.057	0.795	332.700	0.919	2.51900	1.51955	0.33104	0.33104	9.11513	9.11513
0.100	0.795	332.700	0.922	1.91100	1.18774	0.28504	0.28504	6.43814	6.43814
0.167	0.795	332.700	0.919	1.02200	0.78407	0.15901	0.15901	2.23895	2.23895
0.336	0.795	332.700	0.917	0.32350	0.26389	0.06003	0.06003	0.98593	0.98593
