ID            : 794
TypeExp       : DISDIMU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 28
Z2            : 0
KinVar        : [X, Y, EHAD, EPS ]

X	Y	EHAD	EPS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.117	0.356	78.980	0.343	0.29040	0.27802	0.07151	0.07151	0.02996	0.02996
0.211	0.356	78.980	0.353	0.07996	0.12160	0.01825	0.01825	5.20693	5.20693
0.075	0.586	78.980	0.540	0.72500	0.57230	0.12768	0.12768	1.43040	1.43040
0.117	0.586	78.980	0.547	0.39490	0.43054	0.07145	0.07145	0.24888	0.24888
0.211	0.586	78.980	0.549	0.19040	0.18934	0.03612	0.03612	0.00086	0.00086
0.044	0.788	78.980	0.640	0.82690	0.72959	0.15483	0.15483	0.39499	0.39499
0.075	0.788	78.980	0.636	0.63770	0.63976	0.12406	0.12406	0.00028	0.00028
0.117	0.788	78.980	0.649	0.45950	0.49391	0.09930	0.09930	0.12011	0.12011
0.211	0.788	78.980	0.645	0.16440	0.21842	0.03920	0.03920	1.89843	1.89843
0.044	0.356	146.060	0.584	0.84090	0.88261	0.17367	0.17367	0.05768	0.05768
0.075	0.356	146.060	0.586	0.82100	0.70669	0.17448	0.17448	0.42923	0.42923
0.117	0.356	146.060	0.584	0.44840	0.50350	0.09742	0.09742	0.31995	0.31995
0.211	0.356	146.060	0.594	0.13980	0.21736	0.03015	0.03015	6.61768	6.61768
0.044	0.586	146.060	0.725	1.11800	1.02061	0.22811	0.22811	0.18229	0.18229
0.075	0.586	146.060	0.734	0.85450	0.84629	0.17383	0.17383	0.00223	0.00223
0.117	0.586	146.060	0.729	0.71780	0.60760	0.15908	0.15908	0.47989	0.47989
0.211	0.586	146.060	0.738	0.26700	0.26315	0.06329	0.06329	0.00371	0.00371
0.044	0.788	146.060	0.793	1.42000	1.04496	0.24365	0.24365	2.36942	2.36942
0.075	0.788	146.060	0.792	0.93440	0.87337	0.17682	0.17682	0.11913	0.11913
0.117	0.788	146.060	0.793	0.62540	0.63771	0.12193	0.12193	0.01019	0.01019
0.211	0.788	146.060	0.798	0.31840	0.27621	0.07511	0.07511	0.31561	0.31561
0.044	0.356	222.140	0.707	1.24900	1.13803	0.25457	0.25457	0.19004	0.19004
0.075	0.356	222.140	0.710	0.91930	0.89766	0.19526	0.19526	0.01228	0.01228
0.117	0.356	222.140	0.710	0.44400	0.63186	0.09867	0.09867	3.62501	3.62501
0.211	0.356	222.140	0.709	0.32940	0.26458	0.07577	0.07577	0.73182	0.73182
0.044	0.586	222.140	0.811	1.30900	1.23196	0.28122	0.28122	0.07505	0.07505
0.075	0.586	222.140	0.817	1.13200	0.98951	0.25569	0.25569	0.31056	0.31056
0.117	0.586	222.140	0.813	0.85920	0.69637	0.20230	0.20230	0.64787	0.64787
0.211	0.586	222.140	0.818	0.31390	0.29348	0.07732	0.07732	0.06972	0.06972
0.016	0.788	222.140	0.856	1.49400	1.32143	0.24367	0.24367	0.50156	0.50156
0.044	0.788	222.140	0.854	1.80300	1.22335	0.29524	0.29524	3.85451	3.85451
0.075	0.788	222.140	0.857	1.49900	0.99362	0.27002	0.27002	3.50296	3.50296
0.117	0.788	222.140	0.858	0.78700	0.70808	0.15556	0.15556	0.25740	0.25740
0.211	0.788	222.140	0.860	0.23410	0.29768	0.05099	0.05099	1.55466	1.55466
